ADC_raw,ADC_smooth,ADC_corrected,is_stable
16868.0,16861.340073810796,16985.94509319173,False
16868.0,16862.41662806816,16986.466613955195,False
16867.0,16863.541044393292,16987.035996786424,False
16877.0,16864.679818464872,16987.619737364104,False
16878.0,16866.075252183,16988.46013758833,False
16873.0,16867.34957281895,16989.179424730377,False
16859.0,16868.475364038844,16989.75018245637,False
16868.0,16869.560027845033,16990.27981276866,False
16883.0,16870.96756180231,16991.132313232032,False
16882.0,16872.245098293824,16991.854816229643,False
16871.0,16873.173560072042,16992.22824451396,False
16868.0,16874.323915884324,16992.82356683234,False
16875.0,16875.44392788552,16993.388545339636,False
16880.0,16876.551830908833,16993.941414869045,False
16901.0,16877.712026540048,16994.54657700636,False
16901.0,16879.19651964955,16995.47603662196,False
16889.0,16880.53021127114,16996.25469474965,False
16899.0,16881.65690258105,16996.826352565655,False
16901.0,16882.86913448385,16997.483550974557,False
16902.0,16884.105779507576,16998.165162504378,False
16910.0,16885.33105834614,16998.83540784904,False
16896.0,16887.01105741401,16999.960373423008,False
16894.0,16888.645128588116,17001.039411103215,False
16897.0,16889.732253805487,17001.571502826682,False
16826.0,16890.425943562812,17001.710159090107,False
16901.0,16890.567811147634,17001.296993181026,False
16871.0,16892.659629067286,17002.83377760678,False
16885.0,16894.019883539335,17003.638998584924,False
16875.0,16894.48972469821,17003.5538062499,False
16879.0,16894.674604351225,17003.18365240901,False
16903.0,16895.200073402986,17003.154087966872,False
16909.0,16895.768324402838,17003.16730547282,False
16910.0,16896.670677744973,17003.514625321055,False
16907.0,16897.59326417837,17003.88217826055,False
16906.0,16898.076525125824,17003.8104057141,False
16914.0,16898.349170837,17003.528017931374,False
16919.0,16899.05044873178,17003.674262332253,False
16908.0,16900.023568373843,17004.092348480415,False
16906.0,16900.89589249945,17004.40963911212,False
16901.0,16901.90657706306,17004.865290181828,False
16912.0,16902.748094224484,17005.15177384935,False
16907.0,16903.786165992824,17005.63481212379,False
16907.0,16904.502401694062,17005.796014331125,False
16827.0,16905.33552384123,17006.074102984392,False
16895.0,16906.39050798042,17006.57405362968,False
16906.0,16906.197154664504,17005.825666819863,False
16913.0,16906.65574906764,17005.729227729094,False
16916.0,16907.269493937267,17005.787939104823,False
16908.0,16907.892915502725,17005.856327176378,False
16898.0,16908.455975692243,17005.864353871995,False
16906.0,16908.779946924315,17005.633291610164,False
16917.0,16909.28091546777,17005.57922665972,False
16916.0,16909.74892149167,17005.492199189717,False
16916.0,16910.29514504607,17005.483389250217,False
16903.0,16910.920867812518,17005.55407852276,False
16899.0,16911.559864721912,17005.638041938255,False
16915.0,16911.989953361848,17005.513097084287,False
16920.0,16912.228791808804,17005.196902037344,False
16903.0,16912.74941668682,17005.162493421456,False
16900.0,16913.412008188694,17005.27005142943,False
16912.0,16913.907529585496,17005.21053933233,False
16909.0,16914.231640637376,17004.979616890305,False
16917.0,16914.503942624855,17004.696885383884,False
16925.0,16914.772463651712,17004.41037291684,False
16922.0,16915.205689498573,17004.2885652698,False
16908.0,16916.005158765885,17004.533001043208,False
16908.0,16916.654292611307,17004.62710139473,False
16913.0,16917.177594456058,17004.595369745577,False
16920.0,16917.73827770885,17004.60101950447,False
16920.0,16918.37688137504,17004.684589676755,False
16928.0,16920.17769932091,17005.930374128726,False
16901.0,16920.943600182844,17006.141241496756,False
16898.0,16921.18641184265,17005.829019662662,False
16924.0,16921.35807269805,17005.44564702416,False
16934.0,16921.651003932926,17005.183544765136,False
16940.0,16920.893719466614,17003.87122680492,False
16859.0,16921.152927911724,17003.57540175613,False
16901.0,16921.23039682367,17003.097837174173,False
16935.0,16921.38564924212,17002.69805609872,False
16938.0,16921.639693093104,17002.397066455804,False
16945.0,16921.685303479386,17001.887643348186,False
16947.0,16921.972665225272,17001.61997160017,False
16931.0,16922.47619421894,17001.568467099936,False
16936.0,16922.943495317984,17001.480734705077,False
16948.0,16923.16214436736,17001.144350260554,False
16954.0,16923.44704470205,17000.87421710134,False
16943.0,16924.056114346877,17000.928253252263,False
16937.0,16924.608516189004,17000.92562160049,False
16949.0,16924.973812912853,17000.735884830436,False
16929.0,16925.320871890595,17000.52791031428,False
16934.0,16925.541224993867,17000.193229923647,False
16903.0,16925.82407172514,16999.92104316102,False
16916.0,16926.10085668519,16999.642794627165,False
16922.0,16926.491996770073,16999.47890121815,False
16892.0,16925.99130786623,16998.4231788204,False
16890.0,16926.65076507409,16998.527602534363,False
16923.0,16926.946952945298,16998.268756911668,False
16925.0,16927.43007698586,16998.19684745833,False
16929.0,16927.669040688055,16997.88077766662,False
16919.0,16927.565247784492,16997.22195126916,False
16938.0,16927.209904483174,16996.311574473937,False
